name	id	recipes	followers
Ovo vegetarianism	/m/098_f0	Jeff's Oatmeal-Raisin Cookies	
Kimkins	/m/02rqfx6		
Very Low Calorie Diet	/m/0f__cd		
Calorie restriction	/m/04mnc8		
Halal	/m/025lg2		Islam
Low sodium diet	/m/04ct24r		
Fast-5 Diet	/m/0bmcvbv		
Low-fat diet	/m/02wbd4f	Spicy Orange and Ginger Chicken	
Healthy diet	/m/05d45p	Spicy Orange and Ginger Chicken	
Low-carbohydrate diet	/m/02c3sn	Spicy Orange and Ginger Chicken	
Morning banana diet	/m/04yc7f4		
Veganism	/m/07_hy	Pasta with Simple Tomato Sauce	Geezer Butler,Vanessa L. Williams,Lori Petty,Scott Goldberg,Emilie Autumn,Liv Tyler,Ginnifer Goodwin,Lea Michele,Fred Mascherino,Eric Roberts,Anthony Kiedis,Mac Danzig,John Robb,Bif Naked,Ruben Studdard,Pat Neshek,Propagandhi,Tim Commerford,Rikki Rockett,Joaquin Phoenix,Kyle Vincent,Elijah Wood,Daniela Sea,Scott Jurek,Greg Cipes,Erykah Badu,Nellie McKay,John Robbins,Apu Nahasapeemapetilon,Ingrid Newkirk,Liam Wilson,Carrie-Anne Moss,Casey Affleck,Moby,Brian Greene,Suma Ching Hai,Andy Hurley,Pat Thetic,Thom Yorke,Gabe Saporta,Adam Russell,Alanis Morissette,Adam Yauch,Jason Mraz,Billy West,Huey Freeman,Bryan Adams,Thomas Dekker,Vanessa Lengies,Emily Deschanel,Olivia Wilde,Nicole Lapin,Shane Sweet,Barry White,Tobey Maguire,Dan Piraro,Portia de Rossi,Ellen DeGeneres,Howard Lyman,Dario Argento,Spice Williams-Crosby,Alan Park,Forrest Kline,Joanne Rose Bogart,Grace Slick,Martin Shaw,Victoria Moran,Salim Stoudamire,Tom Gabel,Saint David,Omar Rodriguez-Lopez,"Weird Al" Yankovic,David Marchand,Jenny McCarthy,Robin Gibb,Alyssa Milano,Ian MacKaye,Janet Jackson,River Phoenix,André 3000,Darren Boyd,Gabrielle Miller,John Peel,Coretta Scott King,Marcus Patrick,Persia White,Georges Laraque,Isa Chandra Moskowitz,Casey Kasem,John Feldmann,Michael Franti,Lynda Stoner,Shane Told,Benjamin Spock,Daniel Negreanu,Daniel Johns,Oliver Sykes,Tim McIlrath,Kurt Halsey,Albert Einstein,Zooey Deschanel,Alex Greenwald,Ed Templeton,Michael John Burkett,Linda Blair,Morrissey,Dennis Kucinich,Joan Jett,Ed Begley, Jr.,Sinéad O'Connor,Hunter Burgan,Benjamin Zephaniah,Merzbow,Sandra Oh,Jorja Fox,Ryland Bouchard,Quinn Allman,Heather Small,John Salley,James Cromwell,Summer Phoenix,Leonardo da Vinci,Steve-O,Luke Cummo,Jonathan Richman,Anoushka Shankar,k.d. lang,Saul Williams,Kevin Nealon,Jane Velez-Mitchell,Woody Harrelson,Chrissie Hynde,Cedric Bixler-Zavala,Brian Bell,Steve Kilbey,Sean Conant,Alicia Silverstone,Pamelyn Ferdin,Robin Quivers,Mickey Madden,Anthony Rapp,Heather Mills
Vegetarian	/m/07_lq	Apple Blackberry Sponge Pudding,Pasta with Simple Tomato Sauce	
Kosher	/m/01z8txb		
Gluten-free diet	/m/034n2g		
Raw food diet	/m/02zq2n		Alicia Silverstone
Lacto-ovo vegetarianism	/m/05q88	Jeff's Oatmeal-Raisin Cookies	
Atkins Nutritional Approach	/m/0lfss		
