name	id	recipes
Jamie Oliver	/m/01myph	
Thomas Keller	/m/03s07y	Duck Confit,Red Wine Reduction,Roast Chicken,Brine
Thad Guidry	/m/07dkfwx	Cajun Roux,Thad's Gumbo Recipe,Roux
Alex Rollin	/m/0dm241b	Nasi Goreng,Pisang Goreng,Mie Goreng,Kwetiau,Capcay,Wedang Jahe,Alex's Scratch Brownies
Mike Shwe	/m/02wsr02	Spicy Cauliflower with Anchovy,Braised Brussels Sprouts with Bacon,Fettuccine Alfredo,Butternut Squash Risotto,Country Sourdough Bread,Spicy Orange and Ginger Chicken,Braised Shortribs,Arroz con pollo
Emeril Lagasse	/m/02z648	Emeril Lagasse Chicken Marsala
Cheryl Shwe	/m/02wsr0j	Chocolate Covered Peanut Butter Balls,Baked Risotto with Asparagus, Spinach, and Sausage,Broccoli Raab Pasta,Chocolate Chip Cookies
Pepy	/m/0gwrlnt	Soto Babat
Eric Felten	/m/0c4qxzq	Gimlet
Suzette Gresham	/m/083pv4w	Foie Gras Pasta,Foie Gras Butter
Praveen Paritosh	/m/04p7nyj	Transcontinental Condiment Violation 3,Orbis Tertius
